case_id,group,kind,title,expected
"A21","A","DECISION","A08c credential verified but expired","{""decision"":""FILTER_OUT"",""failed_filter"":""mandatory_credential""}"
"A22","A","DECISION","credential verified and current passes","{""decision"":""ELIGIBLE""}"
"A23","A","DECISION","optional language mismatch scores lower but does not filter","{""decision"":""ELIGIBLE""}"
"A24","A","DECISION","gender preference that is not MANDATORY never filters","{""decision"":""ELIGIBLE""}"
"A25","A","DECISION","budget exactly at the minimum is allowed","{""decision"":""ELIGIBLE""}"
"A26","A","DECISION","distance exactly at the radius boundary is allowed","{""decision"":""ELIGIBLE""}"
"A27","A","DECISION","fully matching control","{""decision"":""ELIGIBLE""}"
"A28","A","DECISION","shift exactly at the ceiling is allowed","{""decision"":""ELIGIBLE""}"
"A29","A","DECISION","MUST_DO task the caregiver merely does not prefer still filters","{""decision"":""FILTER_OUT"",""failed_filter"":""caregiver_task_exclusion""}"
"A30","A","DECISION","a non-MUST_DO excluded task does not filter","{""decision"":""ELIGIBLE""}"
"B01","B","RANKING","B01 direct condition experience wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B02","B","RANKING","B02 nearer caregiver wins on final fit","{""comparison"":""GT"",""score"":""final_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B03","B","RANKING","more years of experience wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B04","B","RANKING","higher skill level wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B05","B","RANKING","higher trust history wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B06","B","RANKING","rate inside budget wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B07","B","RANKING","task preference alignment wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B08","B","RANKING","transport available wins when escort is needed","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B09","B","RANKING","wider availability window wins on schedule slack","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B10","B","RANKING","heavy-capable caregiver wins a heavy job","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B11","B","RANKING","more condition experience years is not worse","{""comparison"":""GTE"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B12","B","RANKING","dementia-capable wins a dementia case","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B13","B","RANKING","language coverage wins","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-A"",""loser"":""CG-B""}"
"B14","B","STABILITY","B03 high trust / weak coverage vs lower trust / full coverage","{""comparison"":""DETERMINISTIC"",""note"":""V6 §7 B03 leaves the winner weight-dependent; asserted as reproducibility, not ordering""}"
"B15","B","STABILITY","score stability at 2 km","{""comparison"":""DETERMINISTIC""}"
"B16","B","STABILITY","score stability at 4 km","{""comparison"":""DETERMINISTIC""}"
"B17","B","STABILITY","score stability at 6 km","{""comparison"":""DETERMINISTIC""}"
"B18","B","STABILITY","score stability at 8 km","{""comparison"":""DETERMINISTIC""}"
"B19","B","STABILITY","score stability at 10 km","{""comparison"":""DETERMINISTIC""}"
"B20","B","STABILITY","score stability at 12 km","{""comparison"":""DETERMINISTIC""}"
"B21","B","STABILITY","score stability at 14 km","{""comparison"":""DETERMINISTIC""}"
"B22","B","STABILITY","score stability at 16 km","{""comparison"":""DETERMINISTIC""}"
"B23","B","STABILITY","score stability at 18 km","{""comparison"":""DETERMINISTIC""}"
"B24","B","STABILITY","score stability at 20 km","{""comparison"":""DETERMINISTIC""}"
"B25","B","STABILITY","score stability at 22 km","{""comparison"":""DETERMINISTIC""}"
"C01","C","RANKING","C01 near + on-rate + day beats far + underpaid + night","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}"
"C02","C","RANKING","C02 long-term caregiver prefers recurring work","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}"
"C03","C","RANKING","C03 workload-averse caregiver scores a heavy job lower","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}"
"C04","C","RANKING","higher budget wins","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}"
"C05","C","RANKING","shorter travel wins","{""comparison"":""GT"",""score"":""final_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}"
"C06","C","RANKING","day shift preferred when nights are refused","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}"
"C07","C","RANKING","a job matching preferred task types wins","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}"
"C08","C","RANKING","escort-capable caregiver prefers the escort job they opted into","{""comparison"":""GTE"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}"
"C09","C","RANKING","a job within condition experience wins","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}"
"C10","C","RANKING","fuller shift beats a very short one","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}"
"C11","C","RANKING","pet-free home preferred when the caregiver cannot work with pets","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}"
"C12","C","RANKING","smoke-free home preferred","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}"
"C13","C","DECISION","a caregiver who refuses nights is never recommended a night job","{""decision"":""NOT_RECOMMENDED""}"
"C14","C","DECISION","a caregiver who refuses lifting is never recommended a lifting job","{""decision"":""NOT_RECOMMENDED""}"
"C15","C","DECISION","a caregiver who refuses escort is never recommended an escort job","{""decision"":""NOT_RECOMMENDED""}"
"C16","C","DECISION","a caregiver who refuses live-in is never recommended live-in work","{""decision"":""NOT_RECOMMENDED""}"
"C17","C","DECISION","a caregiver is never recommended a job below their minimum rate","{""decision"":""NOT_RECOMMENDED""}"
"C18","C","DECISION","a caregiver is never recommended a shift beyond their ceiling","{""decision"":""NOT_RECOMMENDED""}"
"C19","C","DECISION","a caregiver is never recommended a job outside their radius","{""decision"":""NOT_RECOMMENDED""}"
"C20","C","DECISION","a caregiver is never recommended a task they exclude","{""decision"":""NOT_RECOMMENDED""}"
"C21","C","DECISION","a caregiver is never recommended work needing a skill they lack","{""decision"":""NOT_RECOMMENDED""}"
"C22","C","DECISION","a caregiver is never recommended work in a language they lack","{""decision"":""NOT_RECOMMENDED""}"
"C23","C","DECISION","an unverified caregiver receives no recommendations at all","{""decision"":""NOT_RECOMMENDED""}"
"C24","C","DECISION","a caregiver is never recommended a job clashing with an accepted one","{""decision"":""NOT_RECOMMENDED""}"
"C25","C","DECISION","an eligible caregiver IS recommended (control)","{""decision"":""RECOMMENDED""}"
"D01","D","FORMULA","D01 family 95 / job 45 → moderate","{""mutual"":75,""band"":""MODERATE""}"
"D02","D","FORMULA","D02 family 88 / job 90 → high","{""mutual"":88.8,""band"":""HIGH""}"
"D03","D","FORMULA","D03 family 92 / job 93 → top","{""mutual"":92.4,""band"":""HIGH""}"
"D04","D","FORMULA","V5 §24 example 96 / 94","{""mutual"":95.19999999999999,""band"":""HIGH""}"
"D05","D","FORMULA","balanced mid pair","{""mutual"":70,""band"":""MODERATE""}"
"D06","D","FORMULA","both low","{""mutual"":40,""band"":""LOW""}"
"D07","D","FORMULA","family high job very low still clears 60 — the 0.60/0.40 family bias, SCORING_SPEC §6","{""mutual"":63.4,""band"":""MODERATE""}"
"D08","D","FORMULA","job high family very low","{""mutual"":45.6,""band"":""LOW""}"
"D09","D","FORMULA_ORDER","D04 one-sided 98/40 ranks below balanced 90/90","{""lower"":[98,40],""higher"":[90,90]}"
"D10","D","FORMULA_ORDER","one-sided 100/30 ranks below balanced 80/80","{""lower"":[100,30],""higher"":[80,80]}"
"D11","D","FORMULA_ORDER","balanced 85/85 ranks above 95/60","{""lower"":[95,60],""higher"":[85,85]}"
"D12","D","FORMULA_ORDER","balanced 75/75 ranks above 90/45","{""lower"":[90,45],""higher"":[75,75]}"
"D13","D","FORMULA_ORDER","a slightly more balanced pair with the same family fit wins","{""lower"":[92,84],""higher"":[92,88]}"
"D14","D","SYMMETRY","both directions agree on the same pair (1)","{""comparison"":""IDENTICAL""}"
"D15","D","SYMMETRY","both directions agree on the same pair (2)","{""comparison"":""IDENTICAL""}"
"D16","D","SYMMETRY","both directions agree on the same pair (3)","{""comparison"":""IDENTICAL""}"
"D17","D","SYMMETRY","both directions agree on the same pair (4)","{""comparison"":""IDENTICAL""}"
"D18","D","SYMMETRY","both directions agree on the same pair (5)","{""comparison"":""IDENTICAL""}"
"D19","D","SYMMETRY","both directions agree on the same pair (6)","{""comparison"":""IDENTICAL""}"
"D20","D","SYMMETRY","both directions agree on the same pair (7)","{""comparison"":""IDENTICAL""}"
"E01","E","DECISION","E01 fit ≥ 90, 145 km, both opt-in","{""decision"":""EXCEPTIONAL_MATCH""}"
"E02","E","DECISION","E02 caregiver has not opted in","{""decision"":""NOT_SHOWN""}"
"E03","E","DECISION","E03 family has not opted in","{""decision"":""NOT_SHOWN""}"
"E04","E","DECISION","E04 base fit below threshold","{""decision"":""NOT_EXCEPTIONAL""}"
"E05","E","DECISION","E05 missing mandatory skill is never rescued by distance","{""decision"":""FILTER_OUT""}"
"E06","E","DECISION","V5 case 5 fit 91 at 45 km","{""decision"":""EXCEPTIONAL_MATCH""}"
"E07","E","DECISION","beyond the platform maximum distance","{""decision"":""NOT_SHOWN""}"
"E08","E","DECISION","beyond the caregiver personal out-of-area limit","{""decision"":""NOT_SHOWN""}"
"E09","E","DECISION","unavailable AND far is filtered, never exceptional","{""decision"":""FILTER_OUT""}"
"E10","E","DECISION","accommodation is disclosed past the caregiver threshold","{""decision"":""EXCEPTIONAL_WITH_ACCOMMODATION""}"
"F01","F","TRUST","F01 unconfirmed incident → no penalty","{""decision"":""NO_PENALTY""}"
"F02","F","TRUST","F01b GPS/geofence event alone → no penalty","{""decision"":""NO_PENALTY""}"
"F03","F","TRUST","F02 confirmed caregiver-responsible incident → penalty","{""decision"":""PENALTY""}"
"F04","F","TRUST","F02b confirmed but externally caused → no penalty","{""decision"":""NO_PENALTY""}"
"F05","F","TRUST","F02c dismissed incident → no penalty","{""decision"":""NO_PENALTY""}"
"F06","F","TRUST","F04 a single 5-star review is shrunk toward the prior","{""decision"":""SHRUNK""}"
"F07","F","TRUST","F04b many 5-star reviews approach the ceiling","{""decision"":""HIGH_REVIEW""}"
"F08","F","TRUST","F05 zero completed jobs → NEW status","{""decision"":""COLD_START""}"
"F09","F","TRUST","F05b enough completed jobs → ESTABLISHED","{""decision"":""ESTABLISHED""}"
"F10","F","RANKING","F03 a previous successful pair with rebook scores above a fresh pair","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-REBOOK"",""loser"":""CG-FRESH""}"
