case_id,group,kind,pass,title,expected,actual
"C04","C","RANKING","true","higher budget wins","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}","{""base_job_fit_A"":98.08,""base_job_fit_B"":96.65}"
"C05","C","RANKING","true","shorter travel wins","{""comparison"":""GT"",""score"":""final_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}","{""final_job_fit_A"":97.72,""final_job_fit_B"":91.32}"
"C06","C","RANKING","true","day shift preferred when nights are refused","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}","{""base_job_fit_A"":98.08,""base_job_fit_B"":85.26}"
"C07","C","RANKING","true","a job matching preferred task types wins","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}","{""base_job_fit_A"":98.08,""base_job_fit_B"":96.15}"
"C08","C","RANKING","true","escort-capable caregiver prefers the escort job they opted into","{""comparison"":""GTE"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}","{""base_job_fit_A"":98.17,""base_job_fit_B"":98.08}"
"C09","C","RANKING","true","a job within condition experience wins","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}","{""base_job_fit_A"":98.08,""base_job_fit_B"":91.67}"
"C10","C","RANKING","true","fuller shift beats a very short one","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}","{""base_job_fit_A"":98.08,""base_job_fit_B"":95.19}"
"C11","C","RANKING","true","pet-free home preferred when the caregiver cannot work with pets","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}","{""base_job_fit_A"":98.15,""base_job_fit_B"":94.44}"
"C12","C","RANKING","true","smoke-free home preferred","{""comparison"":""GT"",""score"":""base_job_fit"",""winner_job"":""JOB-A"",""loser_job"":""JOB-B""}","{""base_job_fit_A"":98.15,""base_job_fit_B"":94.44}"
"C13","C","DECISION","true","a caregiver who refuses nights is never recommended a night job","{""decision"":""NOT_RECOMMENDED""}","{""recommended"":0,""failed_filters"":[""availability""]}"
"C14","C","DECISION","true","a caregiver who refuses lifting is never recommended a lifting job","{""decision"":""NOT_RECOMMENDED""}","{""recommended"":0,""failed_filters"":[""heavy_lifting""]}"
"C15","C","DECISION","true","a caregiver who refuses escort is never recommended an escort job","{""decision"":""NOT_RECOMMENDED""}","{""recommended"":0,""failed_filters"":[""hospital_escort""]}"
"C16","C","DECISION","true","a caregiver who refuses live-in is never recommended live-in work","{""decision"":""NOT_RECOMMENDED""}","{""recommended"":0,""failed_filters"":[""live_in""]}"
"C17","C","DECISION","true","a caregiver is never recommended a job below their minimum rate","{""decision"":""NOT_RECOMMENDED""}","{""recommended"":0,""failed_filters"":[""budget_below_minimum""]}"
"C18","C","DECISION","true","a caregiver is never recommended a shift beyond their ceiling","{""decision"":""NOT_RECOMMENDED""}","{""recommended"":0,""failed_filters"":[""availability"",""shift_length""]}"
"C19","C","DECISION","true","a caregiver is never recommended a job outside their radius","{""decision"":""NOT_RECOMMENDED""}","{""recommended"":0,""failed_filters"":[""service_radius""]}"
"C20","C","DECISION","true","a caregiver is never recommended a task they exclude","{""decision"":""NOT_RECOMMENDED""}","{""recommended"":0,""failed_filters"":[""caregiver_task_exclusion""]}"
"C21","C","DECISION","true","a caregiver is never recommended work needing a skill they lack","{""decision"":""NOT_RECOMMENDED""}","{""recommended"":0,""failed_filters"":[""mandatory_required_skill""]}"
"C22","C","DECISION","true","a caregiver is never recommended work in a language they lack","{""decision"":""NOT_RECOMMENDED""}","{""recommended"":0,""failed_filters"":[""mandatory_language""]}"
"C23","C","DECISION","true","an unverified caregiver receives no recommendations at all","{""decision"":""NOT_RECOMMENDED""}","{""recommended"":0,""failed_filters"":[""verification_status""]}"
"C24","C","DECISION","true","a caregiver is never recommended a job clashing with an accepted one","{""decision"":""NOT_RECOMMENDED""}","{""recommended"":0,""failed_filters"":[""availability""]}"
"C25","C","DECISION","true","an eligible caregiver IS recommended (control)","{""decision"":""RECOMMENDED""}","{""recommended"":1}"
"D01","D","FORMULA","true","D01 family 95 / job 45 → moderate","{""mutual"":75,""band"":""MODERATE""}","{""mutual"":75,""band"":""MODERATE""}"
"D02","D","FORMULA","true","D02 family 88 / job 90 → high","{""mutual"":88.8,""band"":""HIGH""}","{""mutual"":88.8,""band"":""HIGH""}"
"D03","D","FORMULA","true","D03 family 92 / job 93 → top","{""mutual"":92.4,""band"":""HIGH""}","{""mutual"":92.4,""band"":""HIGH""}"
"D04","D","FORMULA","true","V5 §24 example 96 / 94","{""mutual"":95.19999999999999,""band"":""HIGH""}","{""mutual"":95.2,""band"":""HIGH""}"
"D05","D","FORMULA","true","balanced mid pair","{""mutual"":70,""band"":""MODERATE""}","{""mutual"":70,""band"":""MODERATE""}"
"D06","D","FORMULA","true","both low","{""mutual"":40,""band"":""LOW""}","{""mutual"":40,""band"":""LOW""}"
"D07","D","FORMULA","true","family high job very low still clears 60 — the 0.60/0.40 family bias, SCORING_SPEC §6","{""mutual"":63.4,""band"":""MODERATE""}","{""mutual"":63.4,""band"":""MODERATE""}"
"D08","D","FORMULA","true","job high family very low","{""mutual"":45.6,""band"":""LOW""}","{""mutual"":45.6,""band"":""LOW""}"
"D09","D","FORMULA_ORDER","true","D04 one-sided 98/40 ranks below balanced 90/90","{""lower"":[98,40],""higher"":[90,90]}","{""lower"":74.8,""higher"":90}"
"D10","D","FORMULA_ORDER","true","one-sided 100/30 ranks below balanced 80/80","{""lower"":[100,30],""higher"":[80,80]}","{""lower"":72,""higher"":80}"
"D11","D","FORMULA_ORDER","true","balanced 85/85 ranks above 95/60","{""lower"":[95,60],""higher"":[85,85]}","{""lower"":81,""higher"":85}"
"D12","D","FORMULA_ORDER","true","balanced 75/75 ranks above 90/45","{""lower"":[90,45],""higher"":[75,75]}","{""lower"":72,""higher"":75}"
"D13","D","FORMULA_ORDER","true","a slightly more balanced pair with the same family fit wins","{""lower"":[92,84],""higher"":[92,88]}","{""lower"":88.8,""higher"":90.4}"
"D14","D","SYMMETRY","true","both directions agree on the same pair (1)","{""comparison"":""IDENTICAL""}","{""family_side"":96.64,""caregiver_side"":96.64}"
"D15","D","SYMMETRY","true","both directions agree on the same pair (2)","{""comparison"":""IDENTICAL""}","{""family_side"":96.08,""caregiver_side"":96.08}"
"D16","D","SYMMETRY","true","both directions agree on the same pair (3)","{""comparison"":""IDENTICAL""}","{""family_side"":95.53,""caregiver_side"":95.53}"
"D17","D","SYMMETRY","true","both directions agree on the same pair (4)","{""comparison"":""IDENTICAL""}","{""family_side"":95,""caregiver_side"":95}"
"D18","D","SYMMETRY","true","both directions agree on the same pair (5)","{""comparison"":""IDENTICAL""}","{""family_side"":94.11,""caregiver_side"":94.11}"
"D19","D","SYMMETRY","true","both directions agree on the same pair (6)","{""comparison"":""IDENTICAL""}","{""family_side"":92.86,""caregiver_side"":92.86}"
"D20","D","SYMMETRY","true","both directions agree on the same pair (7)","{""comparison"":""IDENTICAL""}","{""family_side"":91.62,""caregiver_side"":91.62}"
"E01","E","DECISION","true","E01 fit ≥ 90, 145 km, both opt-in","{""decision"":""EXCEPTIONAL_MATCH""}","{""exceptional"":true,""base_mutual_fit"":97.4,""cost"":{""travel"":1450,""accommodation"":0,""total_extra"":1450,""accommodation_required"":false,""currency"":""THB"",""label"":""Estimated additional cost"",""is_final_price"":false},""blockers"":[]}"
"E02","E","DECISION","true","E02 caregiver has not opted in","{""decision"":""NOT_SHOWN""}","{""exceptional"":false,""eligible"":false,""blockers"":[""caregiver has not opted in to out-of-area work""]}"
"E03","E","DECISION","true","E03 family has not opted in","{""decision"":""NOT_SHOWN""}","{""exceptional"":false,""eligible"":false,""blockers"":[""family has not opted in to out-of-area caregivers""]}"
"E04","E","DECISION","true","E04 base fit below threshold","{""decision"":""NOT_EXCEPTIONAL""}","{""exceptional"":false,""base_mutual_fit"":76.99,""blockers"":[""base mutual fit 77.0 < 90""]}"
"E05","E","DECISION","true","E05 missing mandatory skill is never rescued by distance","{""decision"":""FILTER_OUT""}","{""eligible"":false,""failed_filters"":[""mandatory_required_skill"",""service_radius""]}"
"E06","E","DECISION","true","V5 case 5 fit 91 at 45 km","{""decision"":""EXCEPTIONAL_MATCH""}","{""exceptional"":true,""base_mutual_fit"":97.4,""cost"":{""travel"":450,""accommodation"":0,""total_extra"":450,""accommodation_required"":false,""currency"":""THB"",""label"":""Estimated additional cost"",""is_final_price"":false},""blockers"":[]}"
"E07","E","DECISION","true","beyond the platform maximum distance","{""decision"":""NOT_SHOWN""}","{""exceptional"":false,""eligible"":false,""blockers"":[""320km > platform max 300km"",""320km beyond caregiver limit 300km""]}"
"E08","E","DECISION","true","beyond the caregiver personal out-of-area limit","{""decision"":""NOT_SHOWN""}","{""exceptional"":false,""eligible"":false,""blockers"":[""145km beyond caregiver limit 100km""]}"
"E09","E","DECISION","true","unavailable AND far is filtered, never exceptional","{""decision"":""FILTER_OUT""}","{""eligible"":false,""failed_filters"":[""availability"",""service_radius""]}"
"E10","E","DECISION","true","accommodation is disclosed past the caregiver threshold","{""decision"":""EXCEPTIONAL_WITH_ACCOMMODATION""}","{""exceptional"":true,""cost"":{""travel"":1450,""accommodation"":700,""total_extra"":2150,""accommodation_required"":true,""currency"":""THB"",""label"":""Estimated additional cost"",""is_final_price"":false}}"
"F01","F","TRUST","true","F01 unconfirmed incident → no penalty","{""decision"":""NO_PENALTY""}","{""trust_score"":79,""family_review"":80,""penalised_incidents"":0,""trust_status"":""ESTABLISHED""}"
"F02","F","TRUST","true","F01b GPS/geofence event alone → no penalty","{""decision"":""NO_PENALTY""}","{""trust_score"":79,""family_review"":80,""penalised_incidents"":0,""trust_status"":""ESTABLISHED""}"
"F03","F","TRUST","true","F02 confirmed caregiver-responsible incident → penalty","{""decision"":""PENALTY""}","{""trust_score"":76.5,""family_review"":80,""penalised_incidents"":1,""trust_status"":""ESTABLISHED""}"
"F04","F","TRUST","true","F02b confirmed but externally caused → no penalty","{""decision"":""NO_PENALTY""}","{""trust_score"":79,""family_review"":80,""penalised_incidents"":0,""trust_status"":""ESTABLISHED""}"
"F05","F","TRUST","true","F02c dismissed incident → no penalty","{""decision"":""NO_PENALTY""}","{""trust_score"":79,""family_review"":80,""penalised_incidents"":0,""trust_status"":""ESTABLISHED""}"
"F06","F","TRUST","true","F04 a single 5-star review is shrunk toward the prior","{""decision"":""SHRUNK""}","{""trust_score"":77.5,""family_review"":75,""penalised_incidents"":0,""trust_status"":""NEW""}"
"F07","F","TRUST","true","F04b many 5-star reviews approach the ceiling","{""decision"":""HIGH_REVIEW""}","{""trust_score"":84.18,""family_review"":97.27,""penalised_incidents"":0,""trust_status"":""ESTABLISHED""}"
"F08","F","TRUST","true","F05 zero completed jobs → NEW status","{""decision"":""COLD_START""}","{""trust_score"":79,""family_review"":80,""penalised_incidents"":0,""trust_status"":""NEW""}"
"F09","F","TRUST","true","F05b enough completed jobs → ESTABLISHED","{""decision"":""ESTABLISHED""}","{""trust_score"":78.95,""family_review"":79.82,""penalised_incidents"":0,""trust_status"":""ESTABLISHED""}"
"F10","F","RANKING","true","F03 a previous successful pair with rebook scores above a fresh pair","{""comparison"":""GT"",""score"":""base_family_fit"",""winner"":""CG-REBOOK"",""loser"":""CG-FRESH""}","{""winner"":98.47,""loser"":95.69}"
